date,open,high,low,close,adj_close,volume
2023-07-28,43.48,43.669998,43.139999,43.540001,43.540001,17667936
2023-07-31,43.889999,44.5,43.599998,44.450001,44.450001,38082802
2023-08-01,44,44.400002,43.700001,43.880001,43.880001,24273543
2023-08-02,43.889999,43.990002,43,43.029999,43.029999,21079360
2023-08-03,43.02,43.450001,42.98,43.259998,43.259998,12890684
2023-08-04,43.549999,43.599998,43.09,43.310001,43.310001,14605280
2023-08-07,43.599998,43.900002,43.389999,43.540001,43.540001,17698434
2023-08-08,43.450001,43.459999,42.700001,42.849998,42.849998,18245077
2023-08-09,42.57,42.919998,42.529999,42.689999,42.689999,10020251
2023-08-10,42.549999,43.369999,42.509998,43.310001,43.310001,14959879
2023-08-11,43.18,43.18,42.130001,42.16,42.16,15089509
2023-08-14,41.709999,42,41.290001,41.93,41.93,13439638
2023-08-15,41.880001,41.98,41.439999,41.759998,41.759998,9130270
2023-08-16,41.5,41.799999,41.18,41.220001,41.220001,9932478
2023-08-17,41,41.599998,40.720001,41.57,41.57,11586497
2023-08-18,41.580002,41.689999,41,41.009998,41.009998,8147841
2023-08-21,41.009998,41.029999,40.080002,40.080002,40.080002,14072902
2023-08-22,40.200001,40.470001,39.66,40.080002,40.080002,12879319
2023-08-23,40.080002,40.290001,39.75,39.77,39.77,10996926
2023-08-24,39.869999,40.349998,39.099998,40.18,40.18,14533170
2023-08-25,40.200001,41.57,40.200001,40.790001,40.790001,21371653
2023-08-28,42.400002,42.689999,40.599998,40.869999,40.869999,23037476
2023-08-29,40.830002,41.349998,40.41,41.139999,41.139999,14430067
2023-08-30,41.139999,41.389999,40.75,40.75,40.75,12113894
2023-08-31,40.799999,40.970001,40.52,40.580002,40.580002,8537655
2023-09-01,40.799999,40.93,40.560001,40.880001,40.880001,7596171
2023-09-04,40.950001,40.98,40.43,40.950001,40.950001,14897538
2023-09-05,40.799999,40.880001,40.580002,40.77,40.77,7791770
2023-09-06,40.77,40.869999,40.560001,40.669998,40.669998,7810015
2023-09-07,40.66,40.900002,40.25,40.259998,40.259998,11184040
2023-09-08,40.049999,40.189999,39.82,40.099998,40.099998,7458820
2023-09-11,40.099998,40.669998,40.099998,40.639999,40.639999,10960114
2023-09-12,40.68,41.5,40.549999,41.139999,41.139999,19156932
2023-09-13,41.150002,41.299999,40.84,40.970001,40.970001,8717116
2023-09-14,41.200001,41.23,40.52,40.740002,40.740002,7513047
2023-09-15,40.700001,41.029999,40.349998,40.48,40.48,9025931
2023-09-18,40.509998,40.66,40.209999,40.52,40.52,10407920
2023-09-19,40.529999,40.759998,40.240002,40.439999,40.439999,8423066
2023-09-20,40.580002,40.849998,40.310001,40.419998,40.419998,13232373
2023-09-21,40.400002,40.470001,39.5,39.5,39.5,15693285
2023-09-22,39.5,39.869999,39.16,39.810001,39.810001,14535837
2023-09-25,39.970001,39.970001,39.549999,39.810001,39.810001,9564602
2023-09-26,39.689999,39.830002,39.57,39.720001,39.720001,6760569
2023-09-27,39.709999,39.880001,39.459999,39.700001,39.700001,9816107
2023-09-28,39.700001,39.799999,37.889999,37.889999,37.889999,46648198
